"","StateCodes","State","Region","Division","Coast","Great.Lakes","TotalC","TotalP","TotalE","TotalPrice","TotalC_Changes","TotalP_Changes","TotalE_Changes","TotalPrice_Changes","BiomassC","CoalC","CoalP","CoalE","CoalPrice","ElecC","ElecE","ElecPrice","FossFuelC","GeoC","GeoP","HydroC","HydroP","NatGasC","NatGasE","NatGasPrice","LPGC","LPGE","LPGPrice","GDP","Population","Year"
"82","NM","New Mexico",4,8,0,0,668675,2260681,8724.8,23.51,102.8790914,100.2486837,121.0584007,117.4325674,17054,284737,405952,584.8,2.05,78618,1964.3,25.92,768020,442,0,1892,195,251838,895.4,6.27,7782,211.2,27.14,89543.25,2078407,2011
"83","NY","New York",1,2,1,1,3611091,879395,66310.1,25.42,96.97512896,105.1024079,107.0000968,110.0909485,124402,125181,0,447.6,3.58,491487,22888.7,46.57,2620842,1283,0,272019,27997,1247757,11178.5,9.1,28906,920.9,31.86,1231935.75,19521745,2011
"84","NC","North Carolina",3,5,1,0,2558792,572796,36145.8,23.22,95.28769802,99.41578931,109.1375172,114.5535274,141002,624783,0,2283.1,3.65,447262,11332.3,25.34,1704725,903,0,37828,3893,311189,2547.1,8.38,41807,1170.5,28,428730.75,9651502,2011
"85","ND","North Dakota",2,4,0,0,528508,1518406,6480.9,17.34,111.0143004,121.1092491,142.2653935,125.7432922,27145,394771,367624,767.4,1.94,46871,1021.1,22.02,652742,1001,0,25068,2580,77752,296.1,5.8,9405,220.6,23.52,42122.75,685242,2011
"86","OH","Ohio",2,3,0,1,3792585,1067943,50635.8,20.58,99.15428584,103.438747,112.2640464,113.2013201,115650,1222606,679187,3382.4,2.77,527994,13856.1,26.56,3188336,3372,0,3728,384,849076,6576.7,8.08,29302,757.8,25.95,521870,11544757,2011
"87","OK","Oklahoma",3,7,0,0,1585212,2704301,19766.9,19.91,100.3355887,104.977491,115.8234894,116.025641,39133,378320,19094,686.1,1.81,204197,4636.6,22.91,1576848,23,0,14641,1507,676910,3500.1,6.27,10418,244.3,23.51,165277.5,3786527,2011
"88","OR","Oregon",4,9,1,0,1002476,513597,14924.3,22.37,102.8109863,130.433027,117.3653872,116.5104167,57460,35135,0,64.7,1.84,160949,3792.9,23.57,572458,1286,0,411131,42315,203607,1477.5,7.45,6208,170.6,27.48,200267.5,3867644,2011
"89","PA","Pennsylvania",1,2,0,1,3725014,3870671,55448.9,22.8,99.27334847,126.2966739,112.9399807,115.5015198,143718,1212984,1511491,3685.4,3.04,507560,15382.9,30.73,3412240,2180,0,31258,3217,1000509,7437.4,8.51,57268,1744.2,30.46,607403.25,12743995,2011
"90","RI","Rhode Island",1,1,1,0,185731,3419,3907.3,26.16,95.09354168,100.5884084,105.8917586,110.7067287,6265,0,0,0,0,26383,1008.3,38.22,185371,127,0,72,7,102465,813.1,8.02,1469,53.3,36.27,49931.25,1052020,2011
"91","SC","South Carolina",3,5,1,0,1601881,661898,21119.1,21.36,97.44323297,101.8339082,113.1669337,115.3347732,111632,366160,0,1410.6,3.85,274627,7081.3,25.78,1077992,605,0,15100,1554,235465,1432.6,6.18,9625,274.1,28.47,171152.75,4673054,2011
"92","SD","South Dakota",2,4,0,0,378470,248370,4596.4,20.43,99.9883756,110.1971276,118.5464112,118.7100523,62472,32112,0,69,2.15,39851,939.8,23.58,218924,1962,0,64205,6608,73973,451,6.77,6744,157.6,23.37,42453.25,824171,2011
"93","TN","Tennessee",3,6,0,0,2195401,506701,29861.2,22.15,97.69178022,100.1918016,116.7337748,118.6395287,91048,481127,38576,1425.4,2.96,343702,9277.6,27.26,1427048,199,0,93037,9576,267929,1886.9,7.61,11999,328.9,27.45,264957.5,6398389,2011
"94","TX","Texas",3,7,1,0,11906249,12571450,163261.8,20.55,101.8714662,110.1586259,120.9218579,118.375576,205461,1695239,605290,3212.5,1.9,1283134,33064.8,26.64,10979933,2488,0,5471,563,3800578,14900.1,4.73,1452532,30956.3,21.32,1351048.25,25657477,2011
"95","UT","Utah",4,8,0,0,794058,1128821,10486,20.04,105.0324598,105.1961534,125.0223552,118.6500888,9209,346181,453869,622.7,1.8,98467,2032.3,20.98,858627,4027,330,11952,1230,230672,1216.2,6.5,4911,124.4,25.41,125496.5,2815324,2011
"96","VT","Vermont",1,1,0,0,150475,80677,3223.2,27.86,97.90366761,100.666309,115.7924989,117.3052632,17194,0,0,0,0,18937,765.9,40.44,88836,27,0,13843,1425,8679,98.9,11.46,8271,246.6,29.81,27564.5,626450,2011
"97","VA","Virginia",3,5,1,0,2380922,1085234,33423.7,22.25,95.87502416,98.92987339,111.9826985,116.3702929,116144,288348,562805,1128.1,3.91,376099,9747.7,25.92,1431388,1764,0,11760,1210,383527,2774.2,7.67,20844,553.7,26.56,431961.25,8110188,2011
"98","WA","Washington",4,9,1,0,2059630,1101186,27091.6,21.54,101.3882845,121.2817347,119.0201299,117.512275,114621,56951,0,133.1,2.34,319789,6294.2,20.01,1042446,1262,0,892101,91818,272261,2484.3,9.77,16604,472.2,28.83,372286.75,6822112,2011
"99","WV","West Virginia",3,5,0,0,726341,3820203,9023.6,20.23,98.31082224,103.2562926,113.8495313,117.207416,25409,822645,3321102,2227.1,2.71,106587,2430.5,23.16,1138906,30,0,14118,1453,124935,624.5,7.87,4323,121.2,28.04,70891.25,1854982,2011
"100","WI","Wisconsin",2,3,0,1,1778018,312552,24577.7,20.97,99.2641242,94.87343713,113.8177911,113.474026,136188,447370,0,1169.2,2.61,234103,6943.9,30.01,1359984,574,0,20859,2147,399247,3028,7.82,32051,734.9,22.99,263634.75,5708785,2011
"101","WY","Wyoming",4,8,0,0,556548,10353148,5498.9,18.01,103.0411648,98.25918681,121.5253376,118.7994723,3974,467671,7591675,710.2,1.52,59429,1118,19.39,797726,670,0,11890,1224,161776,413.7,6.35,5481,139.7,25.55,41578,567631,2011
"102","DC","District of Columbia",3,5,0,0,183806,271,2453,26.66,96.4714033,285.2631579,98.21821822,103.4937888,1028,48,0,0.2,3.26,39450,1480.5,37.53,55887,59,0,0,0,33389,377.2,11.91,18,0.5,29.64,108029,620427,2011
"103","AL","Alabama",3,6,1,0,1879716,1433370,24192.8,19.96,98.66203515,102.3756739,98.95736613,99.30348259,181878,547004,488084,1808.8,3.31,294055,7665.7,27.32,1740315,141,0,70754,7435,677380,2595.8,4.28,8628,212,24.58,187283.25,4817484,2012
